ID,Date House was Sold,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,Waterfront View,No of Times Visited,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Renovated Year,Zipcode,Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft)
5467910190,14 May 2017,325000.0,3,1.75,1780.0,13095.0,1.0,No,,Good,9,1780.0,0,35,0,98042.0,47.367,-122.152,2750.0,13095
9331800580,15 March 2016,257000.0,2,1.0,1000.0,3700.0,1.0,No,,Fair,6,800.0,200,89,0,98118.0,47.552,-122.29,1270.0,5000
2407000405,15 February 2016,228500.0,3,1.0,1080.0,7486.0,1.5,No,,Fair,6,990.0,90,76,0,98146.0,47.4838,-122.335,1170.0,7800
5466700290,15 January 2016,288000.0,3,2.25,2090.0,7500.0,1.0,No,,Good,7,1280.0,810,41,0,98031.0,47.3951,-122.172,1800.0,7350
3026059361,15 April 2016,479000.0,2,2.5,1741.0,1439.0,2.0,No,,Fair,8,1446.0,295,11,0,98034.0,47.7043,-122.209,2090.0,10454
1523069096,14 August 2017,459900.0,3,1.75,2340.0,51836.0,1.5,No,,Fair,8,1510.0,830,40,0,98027.0,47.4846,-122.035,2060.0,77536
3876312010,14 June 2017,449500.0,5,2.75,2040.0,7488.0,1.0,No,,Good,7,1200.0,840,49,0,98034.0,47.7289,-122.172,1530.0,7488
8832900135,15 January 2016,769000.0,5,2.25,3320.0,13138.0,1.0,No,Twice,Good,9,1900.0,1420,54,0,98028.0,47.759,-122.269,2820.0,13138
9238900616,14 June 2017,680000.0,3,1.75,1760.0,8400.0,1.0,No,,Good,8,1460.0,300,58,0,98136.0,47.5355,-122.39,1980.0,8400
4142450040,15 March 2016,293500.0,3,2.5,1610.0,5024.0,2.0,No,,Fair,7,1610.0,0,14,0,98038.0,47.3833,-122.043,1790.0,3717
9282800065,15 March 2016,203000.0,3,1.75,1190.0,6000.0,1.0,No,,Fair,7,1190.0,0,66,2015,98178.0,47.5026,-122.236,1200.0,6000
5379800862,15 April 2016,360000.0,5,3.0,2480.0,7200.0,1.0,No,,Fair,7,1560.0,920,19,0,98188.0,47.4586,-122.283,1910.0,9432
2459950010,14 July 2017,258000.0,3,2.0,1390.0,7200.0,1.0,No,,Fair,7,1390.0,0,22,0,98058.0,47.434,-122.154,1630.0,7340
4435000520,14 September 2017,245990.0,3,1.0,1040.0,8410.0,1.0,No,,Fair,7,1040.0,0,76,2014,98188.0,47.453,-122.289,1350.0,8410
1552800010,15 March 2016,352000.0,5,2.75,2980.0,9838.0,1.0,No,,Fair,7,1710.0,1270,50,0,98030.0,47.3807,-122.222,2240.0,9838
7549800543,14 June 2017,300000.0,3,3.25,1470.0,1235.0,2.0,No,,Fair,7,1180.0,290,10,0,98108.0,47.5537,-122.313,1470.0,1243
