iter	RMSE
0	337978.1345
1	316979.4726
2	298437.1917
3	281037.2871
4	266485.9546
5	252848.4882
6	239838.9659
7	229028.2768
8	219428.8941
9	209875.8971
10	201306.2499
11	193504.8882
12	186931.999
13	181336.5881
14	176199.4379
15	171532.3984
16	166702.3731
17	162407.0575
18	158967.0459
19	154852.9242
20	151758.77
21	149458.7851
22	146891.2962
23	144604.2827
24	142600.0795
25	140701.9754
26	139084.5991
27	137649.1547
28	135814.8538
29	133882.2549
30	132762.5258
31	131633.3349
32	130706.9551
33	129659.8701
34	128656.5585
35	127735.1638
36	126951.9129
37	126005.9064
38	125270.1858
39	124543.8531
40	123910.6801
41	123385.1308
42	122864.4858
43	121742.8986
44	121295.8268
45	120747.0081
46	120136.2432
47	119557.3929
48	119129.3792
49	118740.1714
