iter	Passed	Remaining
0	14	694
1	27	654
2	44	690
3	56	655
4	69	629
5	84	616
6	101	620
7	113	597
8	128	586
9	142	570
10	155	552
11	169	536
12	184	525
13	198	511
14	212	495
15	225	478
16	238	463
17	260	463
18	276	450
19	291	436
20	308	425
21	324	412
22	339	398
23	352	381
24	366	366
25	393	362
26	408	348
27	423	332
28	435	315
29	451	300
30	466	285
31	483	271
32	498	256
33	514	242
34	527	225
35	539	209
36	552	194
37	566	178
38	579	163
39	592	148
40	606	133
41	619	117
42	633	103
43	649	88
44	665	73
45	680	59
46	695	44
47	711	29
48	728	14
49	743	0
