iter	RMSE
0	238399.0951
1	228106.0804
2	218567.4261
3	209618.4478
4	201394.2859
5	193748.9582
6	186727.9967
7	180266.8634
8	174078.5535
9	168402.0024
10	163192.6365
11	158244.7859
12	153974.6414
13	149578.7398
14	145603.5653
15	141990.7744
16	138829.4601
17	135512.9055
18	132645.3604
19	129865.1876
20	127382.0908
21	125105.1193
22	122733.5473
23	120834.668
24	118889.5732
25	117169.4587
26	115035.9334
27	113184.7744
28	111855.3096
29	110298.6407
30	109101.4017
31	108125.4175
32	107159.6335
33	106166.0458
34	105212.17
35	104322.2191
36	103543.1525
37	102591.8238
38	101733.6302
39	100813.7784
40	100132.115
41	99608.37864
42	98894.75247
43	98304.09552
44	97790.44236
45	97250.17853
46	96805.86648
47	96427.53652
48	95931.28717
49	95507.04834
50	95044.13825
51	94618.63108
52	94184.15693
53	93723.53424
54	93382.99138
55	92989.58781
56	92696.68808
57	92441.9209
58	92198.89521
59	91901.11728
60	91707.26268
61	91457.00569
62	91202.69685
63	90846.21811
64	90609.8828
65	90070.58885
66	89813.15432
67	89611.29723
68	89270.76714
69	89054.37599
70	88858.60163
71	88723.27156
72	88552.0383
73	88369.15259
74	88167.09889
75	87957.16302
76	87799.52364
77	87634.70121
78	87512.90423
79	87278.11222
80	87115.46337
81	87006.19526
82	86905.97462
83	86772.51303
84	86659.90059
85	86545.27353
86	86386.71971
87	86258.50107
88	86150.27219
89	86060.7665
90	85860.73281
91	85703.72509
92	85568.70632
93	85468.07089
94	85395.96537
95	85323.766
96	85246.81139
97	84984.46732
98	84814.91748
99	84731.54769
100	84626.51062
101	84469.38827
102	84337.35246
103	84281.07811
104	84232.63174
105	84160.37799
106	84104.0561
107	84040.07456
108	83978.06265
109	83915.80068
110	83864.67153
111	83730.69486
112	83680.13425
113	83631.40548
114	83499.60645
115	83309.87456
116	83252.61122
117	83119.88591
118	82843.00693
119	82785.28538
120	82727.57872
121	82678.4673
122	82628.32234
123	82548.4859
124	82416.9624
125	82320.06801
126	82171.35239
127	82129.28026
128	82016.29721
129	81933.52392
130	81847.08239
131	81766.59514
132	81729.27033
133	81692.36286
134	81645.6698
135	81585.61314
136	81523.25209
137	81469.20322
138	81317.06828
139	81286.73798
140	81231.17997
141	81061.61855
142	81002.6327
143	80947.95626
144	80872.56464
145	80792.99083
146	80660.0037
147	80528.38405
148	80455.09428
149	80414.37514
150	80335.8546
151	80231.80244
152	80189.76984
153	80096.33361
154	80038.09529
155	79985.73774
156	79937.20576
157	79852.31687
158	79820.05768
159	79785.65278
160	79666.49883
161	79602.40057
162	79490.70973
163	79419.13994
164	79327.6104
165	79264.24215
166	79165.01956
167	79098.70869
168	79038.03401
169	78936.60886
170	78871.57414
171	78806.02348
172	78757.73626
173	78691.11551
174	78607.10447
175	78527.33933
176	78455.5155
177	78403.13132
178	78328.38545
179	78246.71673
180	78187.55724
181	78143.26546
182	78086.87594
183	78035.75233
184	77965.42588
185	77904.44213
186	77850.91857
187	77783.89674
188	77746.31236
189	77702.96969
190	77654.54451
191	77608.01194
192	77555.09327
