iter	Passed	Remaining
0	15	15866
1	28	14097
2	38	12848
3	48	12017
4	58	11697
5	70	11600
6	80	11356
7	90	11235
8	104	11493
9	116	11500
10	125	11282
11	135	11127
12	144	10989
13	159	11217
14	172	11337
15	182	11195
16	190	11035
17	199	10887
18	209	10810
19	221	10864
20	230	10749
21	238	10615
22	247	10494
23	254	10359
24	262	10238
25	270	10135
26	278	10027
27	287	9972
28	296	9931
29	308	9986
30	316	9899
31	325	9834
32	334	9788
33	342	9728
34	350	9672
35	359	9613
36	367	9568
37	376	9534
38	385	9505
39	395	9489
40	405	9496
41	415	9473
42	426	9486
43	436	9475
44	444	9440
45	454	9435
46	463	9393
47	471	9348
48	479	9298
49	486	9246
50	494	9209
51	502	9161
52	511	9143
53	520	9109
54	528	9076
55	536	9041
56	544	9010
57	551	8961
58	560	8932
59	568	8904
60	577	8882
61	584	8843
62	593	8823
63	600	8786
64	611	8796
65	620	8781
66	628	8752
67	636	8717
68	645	8703
69	652	8669
70	660	8644
71	667	8607
72	676	8584
73	683	8551
74	691	8524
75	699	8499
76	708	8497
77	717	8481
78	725	8461
79	734	8444
80	742	8424
81	750	8404
82	758	8376
83	766	8354
84	774	8332
85	783	8328
86	791	8303
87	799	8288
88	807	8262
89	818	8273
90	828	8277
91	837	8262
92	846	8252
93	855	8244
94	865	8242
95	873	8227
96	883	8228
97	892	8216
98	902	8211
99	911	8206
100	921	8199
101	930	8196
102	938	8174
103	947	8162
104	955	8140
105	963	8128
106	971	8106
107	979	8088
108	987	8068
109	997	8066
110	1006	8058
111	1014	8045
112	1025	8048
113	1033	8029
114	1042	8024
115	1050	8003
116	1060	8000
117	1067	7980
118	1075	7965
119	1083	7943
120	1091	7928
121	1099	7909
122	1106	7892
123	1114	7875
124	1125	7877
125	1135	7873
126	1142	7854
127	1151	7844
128	1158	7823
129	1167	7810
130	1174	7790
131	1185	7793
132	1193	7778
133	1202	7772
134	1210	7757
135	1220	7750
136	1228	7735
137	1236	7726
138	1245	7716
139	1254	7703
140	1262	7692
141	1272	7687
142	1281	7681
143	1289	7665
144	1297	7653
145	1305	7633
146	1317	7642
147	1326	7637
148	1335	7627
149	1345	7621
150	1353	7610
151	1363	7609
152	1372	7599
153	1383	7600
154	1393	7597
155	1403	7591
156	1411	7579
157	1422	7580
158	1430	7566
159	1438	7553
160	1446	7540
161	1455	7529
162	1462	7511
163	1471	7500
164	1478	7482
165	1486	7468
166	1494	7452
167	1501	7437
168	1509	7421
169	1518	7416
170	1527	7402
171	1535	7393
172	1545	7386
173	1553	7375
174	1560	7357
175	1569	7348
176	1577	7335
177	1587	7329
178	1594	7313
179	1602	7301
180	1610	7286
181	1620	7282
182	1627	7267
183	1635	7255
184	1644	7244
185	1652	7231
186	1659	7214
187	1668	7208
188	1676	7194
189	1684	7180
190	1691	7164
191	1700	7154
192	1708	7142
193	1716	7130
194	1724	7120
195	1733	7110
196	1742	7101
197	1750	7089
198	1758	7078
199	1766	7065
200	1774	7054
201	1782	7041
202	1792	7035
203	1801	7030
204	1810	7021
205	1818	7010
206	1829	7009
207	1838	7000
208	1847	6992
209	1856	6985
210	1869	6991
211	1883	7000
212	1893	6997
213	1903	6991
214	1912	6981
215	1920	6971
216	1929	6963
217	1939	6957
218	1947	6945
219	1956	6935
220	1963	6922
221	1972	6913
222	1980	6899
223	1988	6888
224	1995	6873
225	2004	6864
226	2012	6852
227	2021	6845
228	2032	6843
229	2041	6833
230	2050	6826
231	2057	6812
232	2066	6802
233	2074	6789
234	2082	6780
235	2090	6766
236	2100	6761
237	2107	6747
238	2115	6736
239	2124	6726
240	2133	6719
241	2141	6708
242	2152	6705
243	2161	6695
244	2168	6682
245	2177	6672
246	2184	6659
247	2193	6650
248	2200	6636
249	2209	6628
250	2216	6615
251	2226	6607
252	2234	6597
253	2243	6588
254	2255	6588
255	2262	6576
256	2272	6570
257	2281	6562
258	2291	6555
259	2299	6545
260	2307	6533
261	2314	6519
262	2322	6508
263	2329	6494
264	2338	6485
265	2346	6474
266	2354	6463
267	2361	6449
268	2368	6436
269	2375	6422
270	2381	6407
271	2388	6393
272	2395	6377
273	2402	6365
274	2409	6351
275	2416	6338
276	2422	6322
277	2428	6307
278	2437	6299
279	2443	6284
280	2450	6271
281	2457	6257
282	2464	6244
283	2470	6229
284	2477	6214
285	2484	6201
286	2491	6188
287	2499	6178
288	2505	6164
289	2512	6152
290	2518	6137
291	2525	6122
292	2532	6110
293	2538	6095
294	2546	6085
295	2553	6072
296	2560	6059
297	2566	6045
298	2572	6031
299	2580	6020
300	2587	6008
301	2594	5995
302	2600	5981
303	2606	5968
304	2613	5955
305	2619	5941
306	2626	5929
307	2633	5916
308	2640	5903
309	2647	5893
310	2653	5879
311	2660	5867
312	2667	5854
313	2674	5843
314	2681	5830
315	2688	5819
316	2694	5805
317	2700	5792
318	2707	5779
319	2713	5766
320	2720	5754
321	2726	5741
322	2733	5729
323	2741	5720
324	2749	5710
325	2757	5700
326	2763	5687
327	2772	5681
328	2779	5669
329	2787	5659
330	2795	5649
331	2803	5640
332	2810	5629
333	2817	5618
334	2824	5606
335	2831	5596
336	2838	5583
337	2844	5571
338	2852	5561
339	2858	5549
340	2866	5539
341	2873	5527
342	2880	5516
343	2886	5504
344	2892	5492
345	2900	5481
346	2906	5468
347	2913	5457
348	2918	5444
349	2925	5432
350	2935	5428
351	2942	5417
352	2950	5408
353	2957	5397
354	2964	5387
355	2971	5375
356	2978	5364
357	2984	5352
358	2991	5341
359	2998	5330
360	3004	5318
361	3012	5308
362	3020	5301
363	3028	5291
364	3034	5279
365	3043	5271
366	3050	5261
367	3057	5250
368	3064	5240
369	3070	5228
370	3078	5218
371	3084	5207
372	3091	5197
373	3098	5185
374	3104	5174
375	3111	5163
376	3118	5153
377	3125	5143
378	3132	5132
379	3140	5124
380	3147	5113
381	3156	5105
382	3162	5095
383	3169	5084
384	3176	5073
385	3183	5064
386	3191	5055
387	3199	5047
388	3206	5036
389	3213	5026
390	3222	5019
391	3229	5008
392	3237	5000
393	3245	4991
394	3254	4985
395	3262	4975
396	3270	4966
397	3276	4955
398	3284	4946
399	3290	4936
400	3297	4925
401	3303	4914
402	3309	4903
403	3317	4894
404	3323	4883
405	3332	4875
406	3338	4864
407	3346	4855
408	3352	4844
409	3359	4834
410	3367	4826
411	3373	4815
412	3381	4805
413	3387	4794
414	3394	4784
415	3401	4774
416	3407	4763
417	3414	4754
418	3420	4743
419	3427	4733
420	3434	4722
421	3439	4711
422	3448	4703
423	3454	4693
424	3463	4686
425	3470	4676
426	3477	4666
427	3483	4656
428	3490	4646
429	3497	4635
430	3503	4625
431	3510	4616
432	3517	4605
433	3524	4595
434	3530	4585
435	3537	4575
436	3543	4565
437	3550	4555
438	3557	4546
439	3564	4536
440	3572	4527
441	3578	4517
442	3584	4506
443	3590	4496
444	3597	4486
445	3604	4477
446	3611	4467
447	3618	4458
448	3625	4448
449	3632	4439
450	3639	4429
451	3645	4419
452	3653	4411
453	3661	4403
454	3669	4395
455	3677	4386
456	3684	4378
457	3692	4369
458	3699	4360
459	3707	4352
460	3715	4343
461	3722	4334
462	3730	4326
463	3737	4316
464	3743	4307
465	3751	4299
466	3758	4289
467	3765	4280
468	3772	4271
469	3779	4262
470	3785	4252
471	3792	4242
472	3799	4233
473	3805	4223
474	3813	4215
475	3820	4205
476	3827	4196
477	3833	4186
478	3839	4176
479	3847	4168
480	3853	4158
481	3861	4150
482	3869	4141
483	3875	4132
484	3883	4123
485	3889	4113
486	3896	4104
487	3902	4094
488	3910	4086
489	3916	4076
490	3923	4067
491	3930	4058
492	3936	4048
493	3943	4039
494	3950	4030
495	3958	4022
496	3965	4013
497	3972	4004
498	3980	3995
499	3986	3986
500	3993	3977
501	3999	3967
502	4006	3959
503	4013	3949
504	4019	3940
505	4026	3930
506	4032	3921
507	4039	3912
508	4046	3902
509	4053	3894
510	4060	3885
511	4067	3876
512	4074	3867
513	4081	3858
514	4091	3852
515	4097	3843
516	4105	3835
517	4111	3825
518	4120	3818
519	4127	3810
520	4135	3802
521	4143	3793
522	4152	3787
523	4160	3779
524	4168	3771
525	4176	3763
526	4185	3756
527	4192	3748
528	4200	3740
529	4207	3731
530	4214	3722
531	4220	3713
532	4228	3704
533	4234	3695
534	4240	3685
535	4247	3677
536	4253	3667
537	4261	3659
538	4268	3650
539	4275	3642
540	4283	3634
541	4289	3624
542	4297	3616
543	4303	3607
544	4311	3599
545	4317	3590
546	4325	3582
547	4331	3572
548	4338	3563
549	4344	3554
550	4351	3545
551	4358	3537
552	4365	3528
553	4372	3520
554	4379	3511
555	4385	3502
556	4392	3493
557	4398	3483
558	4405	3475
559	4412	3466
560	4419	3458
561	4426	3449
562	4432	3440
563	4441	3433
564	4447	3424
565	4454	3415
566	4461	3407
567	4467	3397
568	4474	3389
569	4480	3380
570	4487	3371
571	4493	3362
572	4500	3353
573	4507	3345
574	4513	3335
575	4520	3327
576	4526	3318
577	4534	3310
578	4540	3301
579	4546	3292
580	4554	3284
581	4560	3275
582	4567	3267
583	4574	3258
584	4582	3250
585	4590	3242
586	4597	3234
587	4603	3225
588	4610	3217
589	4618	3209
590	4626	3201
591	4634	3193
592	4641	3185
593	4649	3177
594	4657	3170
595	4665	3162
596	4671	3153
597	4679	3145
598	4686	3137
599	4692	3128
600	4699	3119
601	4705	3110
602	4712	3102
603	4718	3093
604	4726	3085
605	4732	3076
606	4738	3067
607	4745	3059
608	4751	3050
609	4759	3042
610	4765	3034
611	4772	3025
612	4779	3017
613	4786	3008
614	4793	3000
615	4799	2992
616	4806	2983
617	4812	2975
618	4818	2966
619	4825	2957
620	4832	2949
621	4840	2941
622	4846	2932
623	4854	2924
624	4861	2916
625	4867	2908
626	4874	2899
627	4881	2891
628	4889	2883
629	4896	2875
630	4903	2867
631	4909	2858
632	4916	2850
633	4923	2842
634	4929	2833
635	4936	2825
636	4943	2816
637	4950	2808
638	4956	2800
639	4962	2791
640	4970	2783
641	4977	2775
642	4984	2767
643	4991	2759
644	4998	2750
645	5005	2743
646	5011	2734
647	5019	2726
648	5025	2717
649	5032	2709
650	5039	2701
651	5045	2693
652	5054	2686
653	5062	2678
654	5070	2670
655	5078	2662
656	5085	2655
657	5093	2647
658	5101	2639
659	5108	2631
660	5116	2624
661	5123	2616
662	5131	2608
663	5138	2600
664	5146	2592
665	5152	2584
666	5159	2575
667	5166	2567
668	5173	2559
669	5179	2551
670	5185	2542
671	5193	2535
672	5199	2526
673	5207	2518
674	5214	2510
675	5222	2502
676	5228	2494
677	5235	2486
678	5242	2478
679	5249	2470
680	5256	2462
681	5262	2453
682	5270	2446
683	5277	2437
684	5283	2429
685	5290	2421
686	5296	2413
687	5304	2405
688	5312	2397
689	5319	2389
690	5325	2381
691	5333	2373
692	5339	2365
693	5346	2357
694	5354	2349
695	5360	2341
696	5368	2333
697	5375	2325
698	5382	2317
699	5389	2309
700	5396	2301
701	5402	2293
702	5408	2285
703	5415	2277
704	5422	2268
705	5429	2260
706	5435	2252
707	5441	2244
708	5448	2236
709	5454	2227
710	5461	2219
711	5468	2211
712	5474	2203
713	5481	2195
714	5488	2187
715	5496	2180
716	5502	2171
717	5509	2163
718	5515	2155
719	5522	2147
720	5531	2140
721	5539	2132
722	5545	2124
723	5553	2117
724	5561	2109
725	5569	2101
726	5577	2094
727	5584	2086
728	5593	2079
729	5600	2071
730	5608	2063
731	5614	2055
732	5621	2047
733	5628	2039
734	5634	2031
735	5640	2023
736	5646	2015
737	5654	2007
738	5661	1999
739	5667	1991
740	5674	1983
741	5680	1975
742	5688	1967
743	5695	1959
744	5703	1952
745	5709	1943
746	5716	1935
747	5722	1927
748	5730	1920
749	5736	1912
750	5743	1904
751	5750	1896
752	5757	1888
753	5763	1880
754	5770	1872
755	5777	1864
756	5784	1856
757	5790	1848
758	5798	1841
759	5804	1833
760	5811	1825
761	5818	1817
762	5825	1809
763	5832	1801
764	5839	1793
765	5847	1786
766	5853	1778
767	5859	1770
768	5867	1762
769	5873	1754
770	5880	1746
771	5887	1738
772	5894	1731
773	5900	1723
774	5908	1715
775	5914	1707
776	5920	1699
777	5928	1691
778	5934	1683
779	5941	1675
780	5947	1667
781	5954	1659
782	5961	1652
783	5968	1644
784	5976	1636
785	5984	1629
786	5992	1621
787	5998	1613
788	6007	1606
789	6013	1598
790	6023	1591
791	6030	1583
792	6038	1576
793	6045	1568
794	6053	1561
795	6060	1553
796	6067	1545
797	6074	1537
798	6081	1529
799	6088	1522
800	6095	1514
801	6102	1506
802	6109	1498
803	6115	1490
804	6122	1483
805	6128	1475
806	6136	1467
807	6142	1459
808	6148	1451
809	6155	1443
810	6162	1436
811	6169	1428
812	6176	1420
813	6183	1412
814	6190	1405
815	6197	1397
816	6204	1389
817	6210	1381
818	6218	1374
819	6225	1366
820	6232	1358
821	6238	1350
822	6245	1343
823	6253	1335
824	6259	1327
825	6266	1320
826	6272	1312
827	6279	1304
828	6286	1296
829	6293	1289
830	6300	1281
831	6306	1273
832	6314	1265
833	6320	1257
834	6327	1250
835	6334	1242
836	6341	1234
837	6348	1227
838	6354	1219
839	6361	1211
840	6367	1203
841	6375	1196
842	6381	1188
843	6388	1180
844	6395	1173
845	6401	1165
846	6409	1157
847	6415	1149
848	6422	1142
849	6429	1134
850	6435	1126
851	6443	1119
852	6450	1111
853	6458	1104
854	6465	1096
855	6473	1088
856	6480	1081
857	6488	1073
858	6495	1066
859	6504	1058
860	6511	1051
861	6518	1043
862	6526	1036
863	6533	1028
864	6540	1020
865	6546	1012
866	6554	1005
867	6560	997
868	6567	990
869	6574	982
870	6580	974
871	6588	967
872	6594	959
873	6602	951
874	6609	944
875	6615	936
876	6623	928
877	6629	921
878	6635	913
879	6642	905
880	6649	898
881	6655	890
882	6662	882
883	6668	875
884	6675	867
885	6682	859
886	6689	852
887	6697	844
888	6703	837
889	6710	829
890	6717	821
891	6723	814
892	6731	806
893	6737	798
894	6744	791
895	6750	783
896	6757	775
897	6764	768
898	6770	760
899	6778	753
900	6787	745
901	6795	738
902	6803	730
903	6810	723
904	6818	715
905	6825	708
906	6833	700
907	6839	693
908	6846	685
909	6852	677
910	6859	670
911	6865	662
912	6872	654
913	6879	647
914	6885	639
915	6892	632
916	6899	624
917	6906	616
918	6913	609
919	6920	601
920	6927	594
921	6934	586
922	6940	579
923	6947	571
924	6955	563
925	6963	556
926	6970	548
927	6977	541
928	6985	533
929	6995	526
930	7004	519
931	7012	511
932	7022	504
933	7029	496
934	7037	489
935	7044	481
936	7051	474
937	7058	466
938	7065	459
939	7072	451
940	7079	443
941	7087	436
942	7094	428
943	7100	421
944	7107	413
945	7114	406
946	7121	398
947	7127	390
948	7134	383
949	7141	375
950	7147	368
951	7154	360
952	7162	353
953	7169	345
954	7176	338
955	7184	330
956	7190	323
957	7198	315
958	7204	308
959	7211	300
960	7218	292
961	7224	285
962	7232	277
963	7238	270
964	7245	262
965	7251	255
966	7259	247
967	7266	240
968	7272	232
969	7279	225
970	7285	217
971	7292	210
972	7299	202
973	7307	195
974	7313	187
975	7320	180
976	7326	172
977	7334	164
978	7342	157
979	7348	149
980	7356	142
981	7362	134
982	7368	127
983	7375	119
984	7381	112
985	7388	104
986	7395	97
987	7402	89
988	7409	82
989	7415	74
990	7424	67
991	7431	59
992	7439	52
993	7447	44
994	7455	37
995	7462	29
996	7470	22
997	7478	14
998	7486	7
999	7493	0
